id,Name,closed,website,website down,twitter,facebook,linkedin,lat,lng,address,city,region,country,description,email,source
110,@TheHub,,http://thehubkampala.com/,,HUBKampala,,,,,,Kampala,,Uganda,,,worldbank
69,88 MPH (400 NG),,www.88mph.ac/lagos,,88mph_Africa,,,,,,Lagos,,Nigeria,,,worldbank
47,88 MPH/Start-up Garage,,www.88mph.ac/nairobi,,88mph_Africa,,,,,,Nairobi,,Kenya,,,worldbank
,ACSE,,,,,https://www.facebook.com/AlgerianCenterForSocialEntrepreneurship,,,,"107 Boulevard Des Martyrs, Sidi M&#039;Hamed, Algérie",,,,"<b>The Algerian Center for Social Entrepreneurship (ACSE)</b> a été créé en 2013 et a comme mission que chaque problème social et environnemental en Algérie trouve une solution innovante et entrepreneuriale. Pour ce faire, ACSE développe deux volets : <b>un volet promotion</b>, visant à sensibiliser, valoriser et fédérer autour de l'entrepreneuriat social en Algérie, et <b>un volet accompagnement</b> se concrétisant par une incubation de huit mois. Plus qu'un incubateur d'entreprises sociales, ACSE UP, est également<b> le plus grand coworking space d'Algérie. </b>",j.ferreira@acsedz.com,afric'innov
1,ActivSpaces,,http://activspaces.com/,,activspaces,https://www.facebook.com/ActivSpaces,,4.1515548,9.23278570000002,"Cefam Rd, Buea, Cameroon",Buea,Southwest,Cameroon,"ActivSpaces is an open collaboration space, innovation hub and startup incubator for African techies. Established in 2009, ActivSpaces was one of the earliest African coworking spaces to provide free and open access to members actively pursuing technology-based ventures. Based in Buea, Cameroon.  ",info@activspaces.com,afrilabs
,AFP PME,,http://www.afppme.bf/,,,https://web.facebook.com/AfpPme/,,,,,,,,,direction@afppme.bf,afric'innov
77,Africa Living Lab ,,http://www.unidaf.com/ (use Living Lab link),x,,,,,,,Dakar,,Senegal,,,worldbank
,Africinnov,,https://www.africinnov.com/fr,,Africinnov,,,,,"Dakar, Sénégal",,,,,,afric'innov
70,Aiivon innovation hub,,https://hub.aiivon.com,,AiivonHub,,,9.0764785,7.39857400000005,"Abuja, Nigeria",Abuja,Federal Capital Territory,Nigeria,"Aiivon Hub is an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation. ",,afrilabs
11,Akendewa,,www.akendewa.org,x,,,,,,,Abidjan,,Cote D'Ivoire,,,worldbank
,AKEWA ACCELERATEUR,,http://www.akewa.org,x,,https://www.facebook.com/akewacroissance/,,,,"Cité Scherko/Angondje commune D&#039;Akanda ,  Libreville",,,,"AKEWA est le premier accélérateur et l'un des acteurs de référence de l'écosystème de l'innovation sociale au Gabon. Engagés dans la promotion de l'entrepreneuriat social, nous sommes spécialisés dans cinq (05) domaines clé : les Industrielles culturelles, l’Environnement, les Technologies de l'information et de la communication (TIC), les Énergies renouvelables et l’Agrobusiness.  Encourageant le management collaboratif, nous accompagnons tous types de projets et quel que soit le stade : idée de création, développement, et croissance.  Nous vous proposons une première étape de consultation 100 % gratuite : accueil, audit du projet, conseils personnalisés, et aide au montage de dossiers de projet.   Après analyse de votre projet et de ses besoins, nous facilitons le parcours des porteurs de projets et des start-ups qui souhaitent se développer.",agence.akewa@gmail.com,afric'innov
2,AkiraChix,,http://akirachix.com/,,akirachix,,,-0.2849853,36.0693113,"Kenyatta Avenue, Nakuru, Kenya",Nakuru,Nakuru County,Kenya,AkiraChix is a not for profit organisation that aims to inspire and develop a successful force of women in technology who will change Africa’s future.,,afrilabs
23,Alexandria Hackerspace,,http://www.alexhacker.com/,x,,,,,,,Alexandria,,Egypt,,,worldbank
79,ALFTech Hub,,http://alftechhub.com/,x,,https://www.facebook.com/pg/alftechhub/services/,,6.6927446,3.23648539999999,"Ota, Nigeria",Ota,Ogun State,Nigeria,"ALFTech Hub is  an innovation hub that is focused on social impact, job creation, skill acquisition, youth engagement and innovation. ",,afrilabs
104,Altoufikh International,,,,,,,12.1348457,15.0557415000001,"N'Djamena, Chad",N'Djamena,N'Djamena,Chad,"Altoufikh International is an open space focused on social impact, youth engagement and innovation. ",,afrilabs
3,AMN Coworking Space,x,https://wiki.hackerspaces.org/AMN_Co_Working_Space,,,,,5.3553063,-3.96637899999996,"E 128, Abidjan, Côte d'Ivoire",Abidjan,Région des lagunes,Côte d'Ivoire,"AMN Coworking Space focuses on web, design, media and cultural entrepreneurs, leveraging mobile and web solutions to address a business need. Technologists, media professionals, investors and doers are welcomed to the space.",,afrilabs
90,Angel Hub,,http://www.angelhub.co.za/,,,,,,,,Stellenbosch ,,South Africa ,,,worldbank
85,BabyLab,,http://www.baby-lab.org/,,BabyLabCI,http://Guiako OBIN,,5.3173556,-4.01906439999993,"Abobo Habitat, Q 180",Abidjan,Abidjan,Côte d'Ivoire,"BabyLab is an innovation center that is focused on social impact, youth engagement and innovation.",contact@baby-lab.org,afrilabs
,Bamako Incubateur,,http://bamako-incubateur.com,,BIncubateur,https://www.facebook.com/BIncubateur/,,,,"Missira, Mali",,,,"Les activités de Bamako Incubateur s’articulent autour de six (06) axes :  1.	Faciliter la promotion du numérique auprès des enfants, femmes et jeunes en milieu urbain, rural, de la diaspora et migrants ;  2.	Faciliter l’intégration du numérique dans les secteurs du développement ;  3.	Identifier, faciliter la création de solution numérique dans les différents secteurs du développement ;  4.	Identifier et accompagner les innovations numériques dans les différents secteurs du développement ;  5.	Faciliter l’employabilité des jeunes notamment de la diaspora et migrants dans le domaine du numérique ;  6.	Faciliter l’accès des start up numériques aux financements.     ",bamako.incubateur@gmail.com,afric'innov
9,BantuHub ,,http://www.bantuhub.com/,x,,,,,,,Brazzaville,,Congo,,,worldbank
,BeoogoLAB,,http://www.beoogolab.org,,BeoogoLAB,,,,,"Somgandé, Secteur 19, Rue Dima Koon ,  Ouagadougou",,,,,info@beoogolab.org,afric'innov
,Bidaya,,http://www.bidaya.io,,Bidaya_io,https://www.facebook.com/Bidaya.io/,,,,"33 bis rue le titien Val fleuri ,  Casablanca",,,,"Bidaya est l'incubateur Social Green Tech du Maroc, appartenant au réseau international d'incubateurs GROUPE SOS Pulse. Implanté à Casablanca depuis 2015, Bidaya a accompagné plus de 40 startups à fort impact social ou environnemental.         Convaincu de la nécessité de construire des modèles économiques innovants pour répondre aux <b>défis sociaux et environnementaux</b>, Bidaya oeuvre pour l'entrepreneuriat<b> à fort impact</b> à travers 4 pôles d'activités : <ul><li>   Bidaya Incub, le programme d'accompagnement général d'entreprises en amorçage     Bidaya Funds, le programme d'accompagnement vers le financement d'entreprises ayant validé leur preuve de concept </li><li>    Bidaya Space, le programme de promotion de l'entrepreneuriat à impact social ou environnemental</li><li>Bidaya Lab, le programme de partage et de valorisation de l'expertise Bidaya&nbsp;</li></ul>",contact@bidaya.io,afric'innov
46,BitHub,,http://bithub.africa/,,bithubafrica,,,-1.3009903,36.8142327,"Kenya Road, Nairobi, Kenya",Nairobi,Nairobi County,Kenya,BitHub Africa is a commercial Blockchain Accelerator that is driving the adoption of blockchain technology and solutions across Africa.,,afrilabs
82,Black Girls Code,,http://www.blackgirlscode.com/,,blackgirlscode,,,,,,Johannesburg,,South Africa,,,worldbank
,Bond innov,,http://www.bondinnov.com/,,Bondinnov,https://www.facebook.com/incubateurbondinnov/,,,,"32 Avenue Henri Varagnat, Bondy, France",,,"   Notre expérience dans l'accompagnement de projets innovants nous permet de sélectionner et de suivre avec soin des projets de qualité grâce à une équipe d'accompagnement dédiée, des locaux à disposition des entrepreneurs, un réseau actif en France et en Afrique, des formations collectives, un pôle d'experts, et de nombreux autres services !",contact@bondinnov.com,afric'innov,
4,BongoHive,,http://bongohive.co.zm/,,bongohive,,,-15.4186552,28.3099678,"Haile Selassie Ave, Lusaka, Zambia",Lusaka,Lusaka Province,Zambia,"BongoHive, based in Lusaka, Zambia, provides a place for the local tech community to meet, swap experiences, and attend training, networking and hackathon events. ",,afrilabs
4,Botswana Innovation Hub,,http://www.bih.co.bw/,,YourBIH,,,,,,Gaborone,,Botswana,,,worldbank
,BujaHub,,http://www.bujahub.com,x,,https://www.facebook.com/bujahub/,,,,"Boulevard De La Liberte, Bujumbura, Burundi",,,,,info@bujahub.com,afric'innov
44,Buni Lab,,http://buni.or.tz/,x,bunihub,,,-6.369028,34.888822,Tanzania,,,Tanzania,Buni is a technology hub that fosters innovation and technology entrepreneurship through capacity building & mentoring programs.  ,,afrilabs
45,C4DLab,,https://c4dlab.ac.ke/,,C4DLab,,,-0.023559,37.906193,Kenya,,,Kenya,"C4DLab is a research & development, prototyping and innovation startup incubation lab housed at the School of Computing & Informatics.  ",,afrilabs
69,Cairo Hackerspace,,https://cairohackerspace.org/,,,,,30.0444196,31.2357116000001,"Cairo, Egypt",Cairo,Cairo Governorate,Egypt,Cairo Hackerspace is an innovation hub that focuses on social impact and innovation.   ,,afrilabs
92,Cape Innovation and Technology Initiative (CITI),,http://www.citi.org.za/,,Cape_IT,,,,,,Cape Town,,South Africa ,,,worldbank
81,Capetown Garage,,www.capetowngarage.com,,capetowngarage,,,,,,Cape Town,,South Africa,,,worldbank
59,Centre d'innovation de Lubumbashi Democratic Republic of Congo,,http://cinolu.org/CIL/,,,http://www.facebook.com/cinolu,,0.4990124,29.4527538,"Beni, North-Kivu, Democratic Republic of the Congo",Beni,North-Kivu,Democratic Republic of the Congo,Centre d'innovation de Lubumbashi Democratic Republic of Congo,reception@cinolu.org,afrilabs
,CENTRE D’AFFAIRES REGIONAL ANOSY,,http://www.cara.mg,,,,,,,"Kathyana Car Rental - Bazaribe Fort Dauphin, Fort-Dauphin, Madagascar",,,,cara.anosy@gmail.com,afric'innov,
63,Centre Swahilipot hub,,,,,,,0.5157743,35.2747495,"Kenyatta Street, Eldoret, Kenya",Eldoret,Uasin Gishu County,Kenya,CentreSwahilipot hub,,afrilabs
,CEPEM Couveuse d’Entreprise pour la Promotion de l’Emploi par la Micro-entreprise ,,https://www.cepem.sn,,cepemcouveuse,https://web.facebook.com/cepemsn,,,,"3 Rue Amadou Assane Ndoye X béranger Ferraud ,  Dakar",,,contact@cepem.sn,afric'innov,,
,Cied,,,,,https://web.facebook.com/AccompagnementCIED/,,,,"Abidjan, Côte-d&#039;Ivoire, Abidjan, Côte d&#039;Ivoire",,,,,,afric'innov
34,CIPMEN,,http://www.cipmen.org,,Cipmen,https://www.facebook.com/incubateurCIPMEN/,,17.607789,8.08166600000004,Niamey,,,Niger,"Le CIPMEN travaille aussi à faciliter l’internationalisation des entreprises nigériennes. En effet, le centre incubateur nigérien a initié le consortium SahelInnov dans l’objectif d’améliorer la coopération entre les incubateurs de la sous-région et permettre la structuration du marché sahélien.           Lancé en avril 2014, le Centre incubateur des PME du Niger est une association à but non lucratif soutenue par l’Etat nigérien et reçoit des financements privés.",contact@cipmen.org,afrilabs
96,Civic Foundation for Innovation,,https://civicfoundationforinnovation.org/,,,,,9.0764785,7.39857400000005,"Abuja, Nigeria",Abuja,Federal Capital Territory,Nigeria,"Civic Innovation hub is a co-creation space and innovation center that is focused on social impact, youth engagement and innovation. ",Info@civicfoundationforinnovation.org,afrilabs
61,Co-creation Hub,,www.cchubnigeria.com,,Cc_HUB,,,,,,Lagos,,Nigeria,,,worldbank
