"","ACSE","","","x","https://www.facebook.com/AlgerianCenterForSocialEntrepreneurship","","","","107 Boulevard Des Martyrs, Sidi M&#039;Hamed, Algérie","","","","<b>The Algerian Center for Social Entrepreneurship (ACSE)</b> a été créé en 2013 et a comme mission que chaque problème social et environnemental en Algérie trouve une solution innovante et entrepreneuriale. Pour ce faire, ACSE développe deux volets : <b>un volet promotion</b>, visant à sensibiliser, valoriser et fédérer autour de l'entrepreneuriat social en Algérie, et <b>un volet accompagnement</b> se concrétisant par une incubation de huit mois. Plus qu'un incubateur d'entreprises sociales, ACSE UP, est également<b> le plus grand coworking space d'Algérie. </b>","j.ferreira@acsedz.com"
"","Activspaces","","http://activspaces.com/","","https://www.facebook.com/ActivSpaces","","","","Boulevard de la Liberté, Douala, Cameroun","","","","African Center for Technology, Innovation and Ventures Spaces (ActivSpaces) was created to help increase the odds of success for these young innovators by creating favorable environments that will serve as catalysts permitting their technology innovations to thrive.  We bring together tech communities and create spaces where techies and tech entrepreneurs come to learn, work and bring ideas alive.  We provide direct support to techies and help them develop skills they need to become world-class tech entrepreneurs.  ActivSpaces is registered as a Nonprofit Association in Cameroon operating as an Innovation Hub and Tech Business Incubator with two tech spaces in Buea (a.k.a Silicon Mountain) and Douala.  The journey we started in 2010 is far from complete. We attribute our credits and achievements to our Board, Team, Funders and remarkable Community Members.","info@activspaces.com"
"","AFP PME","","http://www.afppme.bf/","","https://web.facebook.com/AfpPme/","","","","","","","","","direction@afppme.bf"
"","AKEWA ACCELERATEUR","","http://www.akewa.org","","https://www.facebook.com/akewacroissance/","","","","Cité Scherko/Angondje commune D&#039;Akanda ,  Libreville","","","","AKEWA est le premier accélérateur et l'un des acteurs de référence de l'écosystème de l'innovation sociale au Gabon. Engagés dans la promotion de l'entrepreneuriat social, nous sommes spécialisés dans cinq (05) domaines clé : les Industrielles culturelles, l’Environnement, les Technologies de l'information et de la communication (TIC), les Énergies renouvelables et l’Agrobusiness.  Encourageant le management collaboratif, nous accompagnons tous types de projets et quel que soit le stade : idée de création, développement, et croissance.  Nous vous proposons une première étape de consultation 100 % gratuite : accueil, audit du projet, conseils personnalisés, et aide au montage de dossiers de projet.   Après analyse de votre projet et de ses besoins, nous facilitons le parcours des porteurs de projets et des start-ups qui souhaitent se développer.","agence.akewa@gmail.com"
"","Baby Lab","","https://baby-lab.org/","","http://Guiako OBIN","","","","Abobo Habitat, Q 180, Abidjan, Côte d&#039;Ivoire","","","","- Agir pour la promotion des sciences et techniques, de la création artistique et des actions culturelles.","contact@baby-lab.org"
"","Bamako Incubateur","","http://bamako-incubateur.com","","https://www.facebook.com/BIncubateur/","","","","Missira, Mali","","","","Les activités de Bamako Incubateur s’articulent autour de six (06) axes :  1.	Faciliter la promotion du numérique auprès des enfants, femmes et jeunes en milieu urbain, rural, de la diaspora et migrants ;  2.	Faciliter l’intégration du numérique dans les secteurs du développement ;  3.	Identifier, faciliter la création de solution numérique dans les différents secteurs du développement ;  4.	Identifier et accompagner les innovations numériques dans les différents secteurs du développement ;  5.	Faciliter l’employabilité des jeunes notamment de la diaspora et migrants dans le domaine du numérique ;  6.	Faciliter l’accès des start up numériques aux financements.     ","bamako.incubateur@gmail.com"
"","BeoogoLAB","","http://www.beoogolab.org","","","","","","Somgandé, Secteur 19, Rue Dima Koon ,  Ouagadougou","","","","","info@beoogolab.org"
"","Bidaya","","http://www.bidaya.io","","https://www.facebook.com/Bidaya.io/","","","","33 bis rue le titien Val fleuri ,  Casablanca","","","","Bidaya est l'incubateur Social Green Tech du Maroc, appartenant au réseau international d'incubateurs GROUPE SOS Pulse. Implanté à Casablanca depuis 2015, Bidaya a accompagné plus de 40 startups à fort impact social ou environnemental.         Convaincu de la nécessité de construire des modèles économiques innovants pour répondre aux <b>défis sociaux et environnementaux</b>, Bidaya oeuvre pour l'entrepreneuriat<b> à fort impact</b> à travers 4 pôles d'activités : <ul><li>   Bidaya Incub, le programme d'accompagnement général d'entreprises en amorçage     Bidaya Funds, le programme d'accompagnement vers le financement d'entreprises ayant validé leur preuve de concept </li><li>    Bidaya Space, le programme de promotion de l'entrepreneuriat à impact social ou environnemental</li><li>Bidaya Lab, le programme de partage et de valorisation de l'expertise Bidaya&nbsp;</li></ul>","contact@bidaya.io"
"","Bond&#039;innov","","http://www.bondinnov.com/","","https://www.facebook.com/incubateurbondinnov/","","","","32 Avenue Henri Varagnat, Bondy, France","","","","   Notre expérience dans l'accompagnement de projets innovants nous permet de sélectionner et de suivre avec soin des projets de qualité grâce à une équipe d'accompagnement dédiée, des locaux à disposition des entrepreneurs, un réseau actif en France et en Afrique, des formations collectives, un pôle d'experts, et de nombreux autres services !","contact@bondinnov.com"
"","THE PLUG","","http://www.theplugbybo.com","","https://www.facebook.com/the.plug.by.bo","","","","Résidence les Terrasses D&#039;Oran, Bir El Djir, Oran","","","","The Plug est un programme d’incubation proposé par BOPlug à toute entrepreneur ayant un projet en lien avec le développement de l'expérience client. Plus innovant, plus digitale et plus respectueux des nouvelles attentes environnementales.","contact@thepugbybo.com"
"","BujaHub","","http://www.bujahub.com","","https://www.facebook.com/bujahub/","","","","Boulevard De La Liberte, Bujumbura, Burundi","","","","","info@bujahub.com"
"","CENTRE D&#039;AFFAIRES REGIONAL ANOSY","","http://www.cara.mg","","","","","","Kathyana Car Rental - Bazaribe Fort Dauphin, Fort-Dauphin, Madagascar","","","","",""
"","centre d&#039;innovation de lubumbashi","","http://cinolu.org","","http://www.facebook.com/cinolu","","","","Lubumbashi, République démocratique du Congo","","","","Le centre d'innovation de Lubumbashi&nbsp; permet aux innovateurs et aux entrepreneurs&nbsp;d'acceder a une gamme variées&nbsp;de services d'accompagnement en un seul lieu confortable et accessible aux bourses locales.&nbsp;","reception@cinolu.org"
"","CEPEM Couveuse d&#039;Entreprise pour la Promotion de l&#039;Emploi par la Micro-entreprise","","https://www.cepem.sn","","https://web.facebook.com/cepemsn","","","","3 Rue Amadou Assane Ndoye X béranger Ferraud ,  Dakar","","","","","contact@cepem.sn"
"","Cied","","","x","https://web.facebook.com/AccompagnementCIED/","","","","Abidjan, Côte-d&#039;Ivoire, Abidjan, Côte d&#039;Ivoire","","","","",""
"","CIPMEN","","http://www.cipmen.org","","https://www.facebook.com/incubateurCIPMEN/","","","","Niamey, Niger","","","","    Le CIPMEN travaille aussi à faciliter l’internationalisation des entreprises nigériennes. En effet, le centre incubateur nigérien a initié le consortium SahelInnov dans l’objectif d’améliorer la coopération entre les incubateurs de la sous-région et permettre la structuration du marché sahélien.           Lancé en avril 2014, le Centre incubateur des PME du Niger est une association à but non lucratif soutenue par l’Etat nigérien et reçoit des financements privés.","contact@cipmen.org"
"","Comores Coworking","","http://www.comorescoworking.com","","http://Com&#039;Work","","","","Boulevard Karthala, Moroni, Comores","","","","","contact@comorescoworking.com"
"","Congo Business Network","","http://www.congobusinessnetwork.org","","","","","","Concession Procoki, avenue de L&#039;OUA, Kinshasa, Democratic Republic of the Congo","","","","",""
"","CONNECT&#039;INNOV","","https://connect-innov.com/","","","","","","","","","","","contact@connect-innov.com"
"","Couveuse PAPRICAI / Association Heinrich Klose","","http://couveuse-papricai.org/","","https://www.facebook.com/papricai/","","","","Lomé, quartier Avédji, Carrefour Margot, Lomé, Togo","","","","En 2014, l’Association Heinrich Klose lance la couveuse PAPRICAI, Plateforme pour l’Aide aux Projets et Initiatives de Création d’Activités Innovantes, pour répondre aux besoins de structuration des filières industrielles du secteur culturel et créatif.Dans la perspective de développer un environnement de travail propice aux professionnels du secteur culturel et créatif, l’Association Heinrich Klose a développé un dispositif d’accompagnement global favorisant synergies, mise en réseau et échanges interdisciplinaires. Ainsi est né le dispositif EDOU, outil de développement de connaissances et de compétences sur l’entreprenariat culturel et créatif. EDOU est lancé en septembre 2016 et se décline en six (06) volets : espaces de résidences et de créations, équipements bureautiques mutualisés, espace coworking, hébergements physiques modulables et juridique, salle de formations séminaires, micro-crédit (fonds de développement de l’entrepreneuriat créatif).","contact@couveuse-papricai.org"
"","CREATEAM","","https://www.createam.ml/","","https://web.facebook.com/Lincubateur-Createam-927943447313058/?_rdc=1&amp;_rdr","","","","","","","","","contact@createam.ml"
"","CTIC Dakar","","http://www.cticdakar.com","","https://www.facebook.com/cticdakar/","","","","3 Rue Berenger Feraud, Dakar, Sénégal","","","","Ce programme est destiné à des jeunes qui n’ont pas encore d’entreprise afin de leur donner tous les outils qui leur permettront d’avoir des bases pour porter et gérer leurs projets. Ils reçoivent des formations hebdomadaires sur différents aspects : fiscalité, marketing, communication, un plan/modèle d’affaires, structuration et présentation de projet, réseautage, levée de fonds. Le programme accueille deux cohortes de 20 porteurs de projet par an. ","contact@cticdakar.com"
"","CUBE","","http://www.cubenter.com","x","https://www.facebook.com/SAEICUBE/","","","","BP 4556, togo","","","","L'accent est mis sur les projets dans les biotechnologies (Agriculture et transformation agroalimentaire, solutions innovantes en biotechnologies médicales, environnementales et industrielles). Toutefois nous sommes prêts à accompagner d'autres projets si le volet innovation est prouvé (Inclusion financière, énergie, services de base) et qui répondent à un problème identifié dans la communauté.","equipecube@gmail.com"
"","Oser Innover","","http://daretoinnovate.com/","","https://fr-fr.facebook.com/DaretoInnovate/","","","","","","","","",""
"","Diaspohub","","","x","https://www.facebook.com/DiaspoHub/","","","","Niarela, Bamako, Mali","","","","- L’orientation des porteurs projets dans leur démarche de création d’entreprise","secretariat@diaspohub.com"
"","Dira Partners","","http://www.dirapartners.com","","","","","","80 Résidences Hacienda, dakar , Sénégal","","","","","contact@dirapartners.com"
"","DLCOWORKING (DLC)","","http://www.dlcoworking.com","","https://www.facebook.com/DLCoworking-201097337076733/","","","","Av Kawar, Derrière maternité Yantala ,  Niamey","","","","","contact@dlcoworking.com"
"","DoniLab","","https://www.donilab.net/fr/accueil/","x","https://www.facebook.com/donilab.officiel/","","","","SOTUBA, Bamako, Mali","","","","En effet, Donilab offre aux entrepreneurs la possibilité de travailler dans un espace confortable tout en bénéficiant de diverses expertises, avec un accès internet 24h/7jours.","info@donilab.net"
"","ECOLIA Labs","","http://ecolialabs.org","","https://www.facebook.com/EcoliaLabs/","","","","Ecolia Labs, Unnamed Rd, Yaoundé, Cameroun","","","","À travers cet incubateur, nous aidons les Jeunes et les Femmes à s’approprier le potentiel innovant des technologies modernes afin de stimuler leur créativité, et utiliser le numérique pour proposer des solutions innovantes et frugales aux problèmes de notre société.","contact@ecolialabs.org"
"","Emergence Capital / Diaspo&#039;Lab","","http://www.emergence.africa","","","","","","167 avenue Lamine Guèye x Place Soweto Immeuble Rivonia Tower 11ème étage, Dakar-Sénégal","","","","<b></b><b></b>","ncamara@emergence.africa"
"","Energy Generation","","https://www.energy-generation.org/","","https://www.facebook.com/EnergyGeneration","","","","Hédzranawoé, 2e Arrondissement, Lomé (Awoudja) Lomé, Togo,  Lomé","","","","Energy Generation est une organisation panafricaine qui encourage les jeunes Africains à relever les défis les plus pressants de leur génération (énergie, agriculture, santé, etc.) à travers l'entrepreneuriat et la technologie.     <br>Energy Generation vise à soutenir et à promouvoir les innovations technologiques et entrepreneuriales afin d'identifier, de développer et de diffuser largement les solutions pratiques « made in Africa ».     <br><br>Mais avant tout, Energy Generation est une plate-forme centrée sur l'humain qui offre aux individus des possibilités de libérer et d’exprimer toute leur créativité.<br>","contact@energy-generation.org"
"","Etrilabs Cotonou","","https://etrilabs.com/","","https://www.facebook.com/etrilabscotonou/","","","","Cotonou, Bénin","","","","Créé en 2009, EtriLabs est un écosystème d’innovation et une communauté pour les personnes qui souhaitent co-créer et collaborer sur des projets visant à résoudre des problèmes critiques au niveau national et international. Notre mission est de promouvoir une culture de l'entrepreneuriat ancrée dans l'innovation, la créativité et le partage. A EtriLabs nous offrons plusieurs services: le co-working, l’accompagnement aux entrepreneurs (incubation et l’accélération de startups), la formation, le conseil en marketing/communication, l’organisation d’événements, des solutions sur mesure aux entreprises. Notre communauté comprend des entrepreneurs, des concepteurs, des développeurs, des spécialistes du marketing, et nous avons actuellement 4 sites: 2 à Cotonou (Bénin), 1 à Parakou et 1 à Dakar (Sénégal).",""
"","Expert&#039;Labs Mali","","http://www.expertlabsmali.com","x","https://www.facebook.com/ExpertLabsBamako/?ref=bookmarks","","","","Bamako, Mali","","","","Offrir des opportunités de développement économique aux jeunes maliens à travers le secteur privé  La création d’un bon environnement de développement des entreprises jeunes au Mali  La facilitation de l’interconnexion des entrepreneurs au Mali et dans le monde   ","expertlabsmali@gmail.com"
"","FACTORY 619","","https://factory619.com","","https://www.facebook.com/factory619","","","","","","","","","hedi@factory319.com"
"","Ghiyada Africa","","http://www.ghiyadaafrica.org","","https://www.facebook.com/ghiyadaafrica/","","","","adidogome la pampa ,  lomé","","","","","ghiyadaafrica@gmail.com"
"","Groupe ISM","","https://www.ismincub.com/","","https://fr-fr.facebook.com/GroupeISM/","","","","","","","","","incubateurs@ism.edu.sn"
"","Guerra Tech Hub","","https://guerrahub.com","","https://www.facebook.com/GuerraHub","","","","Banikanni, rue de la pharmacie du Campus ,  Parakou","","","","Avec Guerra, nous souhaitons développer une communauté, un pôle social, durable, multiculturel et intergénérationnel autour des enjeux du numérique. A cet effet, nous avons mis en place 3 grands programmes de développement et offrons de multiples services pour soutenir notre communauté technologique.","contact@guerrahub.com"
"","Hadina Rimtic","","http://www.hadinarimtic.com","x","https://www.facebook.com/hadinarimtic/about/?ref=page_internal","","","","Nouakchott, Nouakchott, Mauritanie","","","","","contact@hadinarimtic.com"
"","I&amp;F Entrepreneuriat","","http://ifentrepreneuriat.org/","x","","","","","23, Avenue Kolo, Quartier Noki, Mbanza-Ngungu, Bas-Congo, RD Congo","","","","I&Fentrepreneuriat est riche d’une expérience de 10 ans (2007 – 2017) dans l’accompagnement par incubation d’entreprise. Il est le premier incubateur d’entreprises en République Démocratique du Congo.   I&Fentrepreneuriat est riche d’au-moins 148 entreprises dont 30 créées par des jeunes de moins de 25 ans exerçant pour 80% dans l’agroalimentaire, 5% dans la haute technologie, 5% dans la production des matériaux de construction et 10% dans les technologies de l’information et la communication.   Ces entreprises sont riches de 86 produits innovants. I&Fentrepreneuriat compte 25 coaches très jeunes.   I&Fentrepreneuriat a développé une pédagogie d’accompagnement basée sur le modèle TCC-GRP pour aider ses porteurs de projets à créer leurs entreprises.    ","contact@ifentrepreneuriat.org"
"","IMMEDIATE CONSULTING &amp; Cie sarl
<b>QUI SOMMES NOUS?</b><p style="text-align: justify; "><span style="font-size: 14px;">Immediate Consulting &amp; Cie est une société à responsabilité limitée, qui se veut être un bureau d'étude, un cabinet, dont l'objet est l'assistance, la formation et le conseil en gestion d'entreprises, avec en son sein un incubateur sous le modèle d'économie de communion (Economy Of Communion International Incubator).</span></p><p style="text-align: justify; "><span style="font-size: 14px;">Présentement à Lubumbashi, dans la province du Haut Katanga au Sud Est de la R.D.CONGO, avec des projets d'extension dans d'autres villes du pays&nbsp; (Likasi, Kolwezi, Kinshasa, Goma, Beni, Bukavu, Mbandaka, Gbadolité, ... ), l'incubateur est généraliste avec des collaborations ouvertes pour des secteurs spécialisés.&nbsp;</span></p><p style="text-align: justify; "><span style="font-size: 14px;">Situé au quartier Bel'air, nous profitons du calme et de la proximité qu'offre ce quartier résidentiel qui constitue pour nous un champs empirique pour différents projets d'entreprises.</span></p><p style="text-align: justify; "><span style="font-size: 14px;">En 2019, avec les différentes évolutions, et notre partenariat avec Afric'innov, il y a eu certains changements au sein de l'incubateur, dont entre autre le nom de l'incubateur (EoCiin-Hub RDC ou réseau international des incubateurs d'économie de communion Hub de la RDCongo) qui se distingue des activités du cabinet ICcie sarl, qui par ailleur y intervient comme partenaire expert accompagnement et comme bailleur de fonds pour les besoins de fonctionnement.&nbsp;</span></p><p style="text-align: justify; "><span style="font-size: 14px;"><br></span></p>","","http://www.immediate-consulting.org","","https://www.facebook.com/immediateconsulting/","","","","89, avenue KANKONTWE, BEL&#039;AIR, KAMPEMBA ,","","","","","info@immediate-consulting.com"
"","Impact Hub Bamako","","http://www.the-hub.company","","https://www.facebook.com/ImpactHubBamako","","","","Hamdallaye ACI 2000, Bamako, Mali","","","","","bamako.info@impact.net"
"","Incubateur Ose Ton Emploi","","http://www.osetonemploi.com","","http://@OseTonEmploi","","","","Conakry, Guinée","","","","       Notre objectif est de contribuer à inverser la tendance pour que des jeunes traditionnellement chercheurs d’emploi deviennent des entrepreneurs innovants, des créateurs d’emplois via la création d’entreprises pérennes et à forte valeur ajoutée.","contact@osetonemploi.com"
"","INCUBATEUR RSE BENIN","","https://www.linkedin.com/company/groupe-de-travail-rse-b%C3%A9nin/","","","","","","lot P1430 vèdoko ,  Cotonou","","","","",""
"","Incubateur UGB","","http://incubation.ugb.sn","","https://web.facebook.com/incubateurugb/","","","","Sanar, Saint-Louis, Saint-Louis, Sénégal","","","","","incubateur@ugb.edu.sn"
"","Incub&#039;ivoir","","http://incubivoir.net/","","https://www.facebook.com/incubivoir1/","","","","zone 3 rue des carrossiers Boîte Postale 10 Bp 1041 Abidjan 10","","","","","incubinfo@caamonde.org"
"","Incubme","","https://incubme.com/","","","","","","333 bouchaoui 03 Cheraga ,  Alger","","","","",""
"","INCUBONS","","","x","https://fr-fr.facebook.com/incubons/","","","","VP 27 A bis Ambohimiandra ,  Antananarivo","","",""," •	Un cabinet d’expertise à destination de toutes les organisations promouvant l’entrepreneuriat des jeunes et des femmes à Madagascar, dans l’Océan Indien et en Afrique.&nbsp;","incubons.etc@gmail.com"
"","Innov&#039;up","","http://innovup.fefa.tg/","x","https://www.facebook.com/centreInnovupTogo/","","","","innovup, Avenue Du 24 Janvier, Lomé, Togo","","","","Pour en savoir plus visitez notre site <a href="http://innovup.fefa.tg">http://innovup.fefa.tg</a> ","innovup@fefa-togo.org"
"","ISTIC Entreprises Startup","","http://www.istic.rnu.tn","","http://ISTIC Entreprises Startup","","","","Technopole Ecopark Borj-cédria, Borj Cédria, Tunisie","","","","ISTIC Entreprises Startup se propose comme une passerelle entre le monde universitaire et le monde socio-économique.  ",""
