Reference,Map 4.3,,,,,,,,,,,
Title,African tech hubs,,,,,,,,,,,
Subtitle,,,,,,,,,,,,
Source,WDR 2016 team.,,,,,,,,,,,
Note,,,,,,,,,,,,
Report URL,http://www.worldbank.org/wdr2016,,,,,,,,,,,
Data URL,http://bit.do/WDR2016-Map4_3,,,,,,,,,,,
,,,,,,,,,,,,
No.,Tech Hub Name,Country ,ISO Code Alpha 2,ISO Code Alpha 3,ISO Numberic Code,City ,URL,Date of foundation,Running Model,,,
1,"INAPEM--Angolan Institute of Support for Micro, Small and Medium Enterprises ",Angola,AO,AGO,24,Luanda,http://www.portal.inapem.gov.ao/,2015,Government Led,,,
2,e-TRILABS,Benin,BJ,BEN,204,Cotonou,http://www.etrilabs.com/,2012,Civil Society Led,,,
3,Jokkolabs Cotonou,Benin,BJ,BEN,204,Cotonou,http://jokkolabs.net/en/#jokkolabs,2015,Civil Society Led,,,
4,Botswana Innovation Hub,Botswana,BW,BWA,72,Gaborone,http://www.bih.co.bw/,2010,Government Led,,,
5,First Steps Venture Center,Botswana,BW,BWA,72,Gaborone,http://www.bih.co.bw/bih-content.php?page=FSVC,2013,Hybrid Led,,,
6,Yam Pukri,Burkina Faso,BF,BFA,854,Ouagadougou,http://www.yam-pukri.org/,1998,Civil Society Led,,,
7,Jokkolabs Ouagadougou,Burkina Faso,BF,BFA,854,Ouagadougou,http://ouaga.jokkolabs.net/,2013,Civil Society Led,,,
8,ActivSpaces,Cameroon,CM,CMR,120,"Beau, Douala",http://activspaces.com/about.php,2012,Civil Society Led,,,
9,BantuHub ,Congo,CG,COG,178,Brazzaville,http://www.bantuhub.com/,2010,Civil Society Led,,,
10,The W Hub,Cote d'Ivoire,CI,CIV,384,Abidjan,http://www.thewhub.com/,2013,Civil Society Led,,,
11,Akendewa,Cote D'Ivoire,CI,CIV,384,Abidjan,www.akendewa.org,2009,Civil Society Led,,,
12,AMN Co-working Space,Cote D'Ivoire,CI,CIV,384,Abidjan,http://amncoworkingspace.com/,2010,Civil Society Led,,,
13,Mwasi Tech Hub,Cote D'Ivoire,CI,CIV,384,Kinshasa,https://www.facebook.com/mwasitechhub,2015,Civil Society Led ,,,
14,Jokkolabs Abidjan,Côte d’Ivoire,CI,CIV,384,Abidjan,http://jokkolabs.net/en/#jokkolabs,2015,Civil Society Led,,,
15,Imani Hub,DRC,CD,COD,180,Kinshasa,"http://www.imanihub.net/ (under construction, but FB is very vibrant)",2014,Civil Society Led,,,
16,Cairo Hackspace,Egypt,EG,EGY,818,Cairo,http://cairohackerspace.org/,2009,Civil Society Led,,,
17,The District,Egypt,EG,EGY,818,Cairo,http://district-egypt.com/,2013,Civil Society Led,,,
18,Flat6Labs,Egypt,EG,EGY,818,Cairo,http://www.flat6labs.com,2011,Hybrid Led,,,
19,IceCairo,Egypt,EG,EGY,818,Cairo,http://icecairo.com/,2012,Civil Society Led,,,
20,Fab Lab Egypt,Egypt,EG,EGY,818,Cairo,http://fablab-egypt.com/,2012,Civil Society Led,,,
21,The Greek Campus,Egypt,EG,EGY,818,Cairo,http://www.thegreekcampus.com/#,2013,Hybrid Led,,,
22,Technology Innovation Entrepreneurship Center,Egypt,EG,EGY,818,Cairo,http://www.tiec.gov.eg/en-US/Pages/default.aspx,2010,Government Led,,,
23,Alexandria Hackerspace,Egypt,EG,EGY,818,Alexandria,http://www.alexhacker.com/,2012,Civil Society Led,,,
24,IceAddis,Ethiopia,ET,ETH,231,Addis Ababa,http://www.iceaddis.com/,2011,Academic Institution Led,,,
25,xHub,Ethiopia,ET,ETH,231,Addis Ababa,http://www.xhubaddis.com/,2014,Civil Society Led,,,
26,Jokkolabs Banjul,Gambia,GM,GMB,270,Banjul ,http://jokkolabs.net/en/#jokkolabs,2015,Civil Society Led,,,
27,Woe Lab,Gambia,GM,GMB,270,Lakasa,http://www.woelabo.com/,2012,Civil Society Led,,,
28,mFriday,Ghana,GH,GHA,288,Kumasi,http://www.mfriday.org/,2011,Civil Society Led,,,
29,MEST-Meltwater Entrepreneurial School of Technology ,Ghana,GH,GHA,288,Accra,http://meltwater.org/incubator/about-the-incubator/,2008,Academic Institution Led,,,
30,gSpace,Ghana,GH,GHA,288,Accra,http://gspace.addhen.org/,2011,Civil Society Led,,,
31,iSpace,Ghana,GH,GHA,288,Accra,http://ispacegh.com/,2013,Civil Society Led,,,
32,Ghana Multimedia Incubator Centre,Ghana,GH,GHA,288,Accra,http://gmic.gov.gh/,2005,Government Led,,,
33,Mobile Web Ghana,Ghana,GH,GHA,288,Accra,http://mobilewebghana.org/,2012,Civil Society Led,,,
34,Kumasi Business Incubator,Ghana,GH,GHA,288,Kumasi,(seem to not have their own website)<https://www.facebook.com/pages/Kumasi-Business-Incubator-KBI/813845328668356>,2014,Hybrid Led,,,
35,Oguaa Business Incubator,Ghana,GH,GHA,288,Cape Coast,NA,2005,Civil Society Led,,,
36,Hub Accra,Ghana,GH,GHA,288,Accra,www.hubaccra.com,2013,Hybrid Led,,,
37,iHub,Kenya,KE,KEN,404,Nairobi,http://www.ihub.co.ke/,2010,Civil Society Led,,,
38,m:Lab East Africa,Kenya,KE,KEN,404,Nairobi,http://mlab.co.ke/,2011,Hybrid Led,,,
